我 O
国 O
大 B-TAE_P
宗 I-TAE_P
商 I-TAE_P
品 I-TAE_P
电 I-TAE_P
子 I-TAE_P
交 I-TAE_P
易 I-TAE_P
市 I-TAE_P
场 I-TAE_P
涉 O
及 O
的 O
交 B-COM
易 I-COM
品 I-COM
种 I-COM
繁 O
多 O
， O
结 O
合 O
国 O
际 O
社 O
会 O
关 O
于 O
大 B-COM
宗 I-COM
商 I-COM
品 I-COM
的 O
产 O
品 O
分 O
类 O
和 O
国 B-ORG
家 I-ORG
统 I-ORG
计 I-ORG
局 I-ORG
分 O
类 O
标 O
准 O
， O
我 O
们 O
将 O
大 O
宗 O
商 O
品 O
划 O
分 O
为 O
能 B-COM_T4
源 I-COM_T4
化 I-COM_T4
工 I-COM_T4
、 O
金 B-COM_T3
属 I-COM_T3
矿 I-COM_T3
产 I-COM_T3
、 O
农 B-COM_T1
林 I-COM_T1
牧 I-COM_T1
渔 I-COM_T1
和 O
稀 B-COM_T5
贵 I-COM_T5
金 I-COM_T5
属 I-COM_T5
四 O
大 O
类 O
别 O
。 O

能 B-COM_T4
源 I-COM_T4
化 I-COM_T4
工 I-COM_T4
主 O
要 O
包 O
括 O
煤 B-COM_T4
炭 I-COM_T4
、 O
石 B-COM_T4
油 I-COM_T4
、 O
天 B-COM_T4
然 I-COM_T4
气 I-COM_T4
、 O
水 B-COM_T4
电 I-COM_T4
、 O
核 B-COM_T4
电 I-COM_T4
、 O
化 B-COM_T4
工 I-COM_T4
产 I-COM_T4
品 I-COM_T4
（ O
如 O
原 B-COM_T4
油 I-COM_T4
、 O
丙 B-COM_T4
烷 I-COM_T4
、 O
天 B-COM_T4
然 I-COM_T4
橡 I-COM_T4
胶 I-COM_T4
等 O
） O
。 O

金 B-COM_T3
属 I-COM_T3
矿 I-COM_T3
产 I-COM_T3
主 O
要 O
包 O
括 O
钢 B-COM_T3
铁 I-COM_T3
、 O
铜 B-COM_T3
、 O
铝 B-COM_T3
、 O
铅 B-COM_T3
、 O
水 B-COM_T3
泥 I-COM_T3
等 O
。 O

农 B-COM_T1
林 I-COM_T1
牧 I-COM_T1
渔 I-COM_T1
主 O
要 O
包 O
括 O
玉 B-COM_T1
米 I-COM_T1
、 O
稻 B-COM_T1
米 I-COM_T1
、 O
大 B-COM_T1
豆 I-COM_T1
、 O
小 B-COM_T1
麦 I-COM_T1
、 O
活 B-COM_T1
猪 I-COM_T1
、 O
活 B-COM_T1
牛 I-COM_T1
、 O
可 B-COM_T1
可 I-COM_T1
、 O
棉 B-COM_T1
花 I-COM_T1
、 O
羊 B-COM_T1
毛 I-COM_T1
、 O
糖 B-COM_T1
等 O
。 O

稀 B-COM_T5
贵 I-COM_T5
金 I-COM_T5
属 I-COM_T5
主 O
要 O
包 O
括 O
黄 B-COM_T5
金 I-COM_T5
、 O
白 B-COM_T5
银 I-COM_T5
等 O
。 O

因 O
此 O
， O
按 O
照 O
交 B-COM
易 I-COM
品 I-COM
种 I-COM
的 O
不 O
同 O
大 B-TAE_P
宗 I-TAE_P
商 I-TAE_P
品 I-TAE_P
电 I-TAE_P
子 I-TAE_P
交 I-TAE_P
易 I-TAE_P
市 I-TAE_P
场 I-TAE_P
的 O
目 O
标 O
市 O
场 O
可 O
以 O
分 O
为 O
能 B-COM_T4
源 I-COM_T4
化 I-COM_T4
工 I-COM_T4
市 O
场 O
、 O
金 B-COM_T3
属 I-COM_T3
矿 I-COM_T3
产 I-COM_T3
市 O
场 O
、 O
农 B-COM_T1
林 I-COM_T1
牧 I-COM_T1
渔 I-COM_T1
市 O
场 O
和 O
稀 B-COM_T5
贵 I-COM_T5
金 I-COM_T5
属 I-COM_T5
市 O
场 O
。 O

目 B-TIME
前 I-TIME
有 O
的 O
大 B-TAE_P
宗 I-TAE_P
商 I-TAE_P
品 I-TAE_P
电 I-TAE_P
子 I-TAE_P
交 I-TAE_P
易 I-TAE_P
市 I-TAE_P
场 I-TAE_P
只 O
专 O
注 O
于 O
某 O
一 O
类 O
市 O
场 O
。 O

例 O
如 O
， O
山 B-TAE_P
东 I-TAE_P
寿 B-TAE_P
光 I-TAE_P
蔬 I-TAE_P
菜 I-TAE_P
产 I-TAE_P
业 I-TAE_P
集 I-TAE_P
团 I-TAE_P
（ O
天 B-LOC
津 I-LOC
） O
商 O
品 O
交 O
易 O
市 O
场 O
深 O
耕 O
于 O
农 B-COM_T1
林 I-COM_T1
牧 I-COM_T1
渔 I-COM_T1
市 O
场 O
， O
具 O
体 O
来 O
说 O
主 O
要 O
是 O
农 B-COM_T1
作 I-COM_T1
物 I-COM_T1
， O
包 O
括 O
南 B-COM_T1
瓜 I-COM_T1
、 O
冬 B-COM_T1
瓜 I-COM_T1
、 O
洋 B-COM_T1
葱 I-COM_T1
等 O
； O
河 B-TAE_P
北 I-TAE_P
钢 I-TAE_P
铁 I-TAE_P
交 I-TAE_P
易 I-TAE_P
中 I-TAE_P
心 I-TAE_P
的 O
目 O
标 O
市 O
场 O
则 O
集 O
中 O
在 O
金 B-COM_T3
属 I-COM_T3
矿 I-COM_T3
产 I-COM_T3
市 O
场 O
， O
包 O
括 O
棒 B-COM_T3
线 I-COM_T3
、 O
型 B-COM_T3
材 I-COM_T3
、 O
特 B-COM_T3
钢 I-COM_T3
等 O
。 O

然 O
而 O
也 O
有 O
大 O
宗 O
商 O
品 O
电 O
子 O
交 O
易 O
市 O
场 O
覆 O
盖 O
多 O
个 O
市 O
场 O
， O
如 O
甬 B-TAE_P
商 I-TAE_P
所 I-TAE_P
的 O
目 O
标 O
市 O
场 O
就 O
包 O
括 O
能 B-COM_T4
源 I-COM_T4
化 I-COM_T4
工 I-COM_T4
市 O
场 O
、 O
农 B-COM_T1
林 I-COM_T1
牧 I-COM_T1
渔 I-COM_T1
市 O
场 O
、 O
稀 B-COM_T5
贵 I-COM_T5
金 I-COM_T5
属 I-COM_T5
市 O
场 O
。 O

按 O
交 B-COM
易 I-COM
品 I-COM
种 I-COM
划 O
分 O
的 O
大 B-TAE_P
宗 I-TAE_P
商 I-TAE_P
品 I-TAE_P
电 I-TAE_P
子 I-TAE_P
交 I-TAE_P
易 I-TAE_P
市 I-TAE_P
场 I-TAE_P
具 O
体 O
到 O
所 O
涉 O
及 O
的 O
行 O
业 O
， O
已 O
涵 O
盖 O
能 B-COM_T4
源 I-COM_T4
、 O
化 B-COM_T4
工 I-COM_T4
